Month,Beginning cash,Illustrative funding proceeds,Owner contribution,Customer deposits,Customer final collections,Total inflows,Direct project costs,Founder payroll,Legal services,Minor overhead,Software/domains/storage/communications,Insurance,Bookkeeping/accounting,Marketing/outreach,General operations,Equipment/startup setup,Estimated loan payment,Total outflows,Net cash movement,Ending cash
2026-09,0,25000,0,0.0,0.0,25000.0,0.0,0,4950,50,250,250,150,500,150,5000,0,11300.0,13700.0,13700.0
2026-10,13700.0,0,0,0.0,0.0,0.0,0.0,0,0,0,250,250,150,500,150,0,0,1300.0,-1300.0,12400.0
2026-11,12400.0,0,0,0.0,0.0,0.0,0.0,0,0,0,250,250,150,500,150,0,0,1300.0,-1300.0,11100.0
2026-12,11100.0,0,0,1250.0,0.0,1250.0,375.0,0,4950,50,250,250,150,500,150,0,428.0609108724658,7103.060910872466,-5853.060910872466,5246.939089127534
2027-01,5246.939089127534,0,0,1250.0,1250.0,2500.0,750.0,0,0,0,250,250,150,500,150,0,428.0609108724658,2478.0609108724657,21.939089127534317,5268.878178255069
2027-02,5268.878178255069,0,0,1250.0,1250.0,2500.0,750.0,0,0,0,250,250,150,500,150,0,428.0609108724658,2478.0609108724657,21.939089127534317,5290.817267382603
2027-03,5290.817267382603,0,0,2500.0,1250.0,3750.0,1125.0,0,4950,50,250,250,150,500,150,0,428.0609108724658,7853.060910872466,-4103.060910872466,1187.7563565101373
2027-04,1187.7563565101373,0,0,2500.0,2500.0,5000.0,1500.0,0,0,0,250,250,150,500,150,0,428.0609108724658,3228.0609108724657,1771.9390891275343,2959.6954456376716
2027-05,2959.6954456376716,0,0,2500.0,2500.0,5000.0,1500.0,0,0,0,250,250,150,500,150,0,428.0609108724658,3228.0609108724657,1771.9390891275343,4731.634534765206
2027-06,4731.634534765206,0,0,2500.0,2500.0,5000.0,1500.0,0,4950,50,250,250,150,500,150,0,428.0609108724658,8228.060910872466,-3228.0609108724657,1503.5736238927402
2027-07,1503.5736238927402,0,0,2500.0,2500.0,5000.0,1500.0,0,0,0,250,250,150,500,150,0,428.0609108724658,3228.0609108724657,1771.9390891275343,3275.5127130202745
2027-08,3275.5127130202745,0,0,2500.0,2500.0,5000.0,1500.0,0,0,0,250,250,150,500,150,0,428.0609108724658,3228.0609108724657,1771.9390891275343,5047.451802147809
2027-09,5047.451802147809,0,0,3750.0,2500.0,6250.0,1875.0,0,4950,50,250,250,150,500,150,0,428.0609108724658,8603.060910872466,-2353.0609108724657,2694.390891275343
2027-10,2694.390891275343,0,0,3750.0,3750.0,7500.0,2250.0,0,0,0,250,250,150,500,150,0,428.0609108724658,3978.0609108724657,3521.9390891275343,6216.3299804028775
2027-11,6216.3299804028775,0,0,3750.0,3750.0,7500.0,2250.0,0,0,0,250,250,150,500,150,0,428.0609108724658,3978.0609108724657,3521.9390891275343,9738.269069530412
2027-12,9738.269069530412,0,0,3750.0,3750.0,7500.0,2250.0,0,4950,50,250,250,150,500,150,0,428.0609108724658,8978.060910872466,-1478.0609108724657,8260.208158657946
2028-01,8260.208158657946,0,0,3750.0,3750.0,7500.0,2250.0,0,0,0,250,250,150,500,150,0,428.0609108724658,3978.0609108724657,3521.9390891275343,11782.14724778548
2028-02,11782.14724778548,0,0,3750.0,3750.0,7500.0,2250.0,0,0,0,250,250,150,500,150,0,428.0609108724658,3978.0609108724657,3521.9390891275343,15304.086336913015
2028-03,15304.086336913015,0,0,5000.0,3750.0,8750.0,2625.0,0,4950,50,250,250,150,500,150,0,428.0609108724658,9353.060910872466,-603.0609108724657,14701.025426040549
2028-04,14701.025426040549,0,0,5000.0,5000.0,10000.0,3000.0,0,0,0,250,250,150,500,150,0,428.0609108724658,4728.060910872466,5271.939089127534,19972.96451516808
2028-05,19972.96451516808,0,0,5000.0,5000.0,10000.0,3000.0,0,0,0,250,250,150,500,150,0,428.0609108724658,4728.060910872466,5271.939089127534,25244.903604295614
2028-06,25244.903604295614,0,0,5000.0,5000.0,10000.0,3000.0,0,4950,50,250,250,150,500,150,0,428.0609108724658,9728.060910872466,271.9390891275343,25516.842693423147
2028-07,25516.842693423147,0,0,5000.0,5000.0,10000.0,3000.0,0,0,0,250,250,150,500,150,0,428.0609108724658,4728.060910872466,5271.939089127534,30788.78178255068
2028-08,30788.78178255068,0,0,5000.0,5000.0,10000.0,3000.0,0,0,0,250,250,150,500,150,0,428.0609108724658,4728.060910872466,5271.939089127534,36060.72087167821
