Month,Planned packages sold,Average package price,Gross booked sales,Deposit cash collected,Final cash collected from prior packages,Total customer cash collected,Direct project costs,Gross contribution before operating costs,Evidence status
2026-09,0,2500,0,0.0,0,0.0,0.0,0.0,Planning assumption—replace with actual pipeline evidence
2026-10,0,2500,0,0.0,0.0,0.0,0.0,0.0,Planning assumption—replace with actual pipeline evidence
2026-11,0,2500,0,0.0,0.0,0.0,0.0,0.0,Planning assumption—replace with actual pipeline evidence
2026-12,1,2500,2500,1250.0,0.0,1250.0,375.0,875.0,Planning assumption—replace with actual pipeline evidence
2027-01,1,2500,2500,1250.0,1250.0,2500.0,750.0,1750.0,Planning assumption—replace with actual pipeline evidence
2027-02,1,2500,2500,1250.0,1250.0,2500.0,750.0,1750.0,Planning assumption—replace with actual pipeline evidence
2027-03,2,2500,5000,2500.0,1250.0,3750.0,1125.0,2625.0,Planning assumption—replace with actual pipeline evidence
2027-04,2,2500,5000,2500.0,2500.0,5000.0,1500.0,3500.0,Planning assumption—replace with actual pipeline evidence
2027-05,2,2500,5000,2500.0,2500.0,5000.0,1500.0,3500.0,Planning assumption—replace with actual pipeline evidence
2027-06,2,2500,5000,2500.0,2500.0,5000.0,1500.0,3500.0,Planning assumption—replace with actual pipeline evidence
2027-07,2,2500,5000,2500.0,2500.0,5000.0,1500.0,3500.0,Planning assumption—replace with actual pipeline evidence
2027-08,2,2500,5000,2500.0,2500.0,5000.0,1500.0,3500.0,Planning assumption—replace with actual pipeline evidence
2027-09,3,2500,7500,3750.0,2500.0,6250.0,1875.0,4375.0,Planning assumption—replace with actual pipeline evidence
2027-10,3,2500,7500,3750.0,3750.0,7500.0,2250.0,5250.0,Planning assumption—replace with actual pipeline evidence
2027-11,3,2500,7500,3750.0,3750.0,7500.0,2250.0,5250.0,Planning assumption—replace with actual pipeline evidence
2027-12,3,2500,7500,3750.0,3750.0,7500.0,2250.0,5250.0,Planning assumption—replace with actual pipeline evidence
2028-01,3,2500,7500,3750.0,3750.0,7500.0,2250.0,5250.0,Planning assumption—replace with actual pipeline evidence
2028-02,3,2500,7500,3750.0,3750.0,7500.0,2250.0,5250.0,Planning assumption—replace with actual pipeline evidence
2028-03,4,2500,10000,5000.0,3750.0,8750.0,2625.0,6125.0,Planning assumption—replace with actual pipeline evidence
2028-04,4,2500,10000,5000.0,5000.0,10000.0,3000.0,7000.0,Planning assumption—replace with actual pipeline evidence
2028-05,4,2500,10000,5000.0,5000.0,10000.0,3000.0,7000.0,Planning assumption—replace with actual pipeline evidence
2028-06,4,2500,10000,5000.0,5000.0,10000.0,3000.0,7000.0,Planning assumption—replace with actual pipeline evidence
2028-07,4,2500,10000,5000.0,5000.0,10000.0,3000.0,7000.0,Planning assumption—replace with actual pipeline evidence
2028-08,4,2500,10000,5000.0,5000.0,10000.0,3000.0,7000.0,Planning assumption—replace with actual pipeline evidence
