Lead / customer,Service,Stage,Quoted value,Deposit %,Expected close month,Deposit received?,Final received?,Evidence / next action,Direct cost estimate,Notes
,,Lead,0,50%,,No,No,Start empty: add only real prospect information.,0,
,,Lead,0,50%,,No,No,Start empty: add only real prospect information.,0,
,,Lead,0,50%,,No,No,Start empty: add only real prospect information.,0,
,,Lead,0,50%,,No,No,Start empty: add only real prospect information.,0,
,,Lead,0,50%,,No,No,Start empty: add only real prospect information.,0,
,,Lead,0,50%,,No,No,Start empty: add only real prospect information.,0,
,,Lead,0,50%,,No,No,Start empty: add only real prospect information.,0,
,,Lead,0,50%,,No,No,Start empty: add only real prospect information.,0,
,,Lead,0,50%,,No,No,Start empty: add only real prospect information.,0,
,,Lead,0,50%,,No,No,Start empty: add only real prospect information.,0,
,,Lead,0,50%,,No,No,Start empty: add only real prospect information.,0,
,,Lead,0,50%,,No,No,Start empty: add only real prospect information.,0,
,,Lead,0,50%,,No,No,Start empty: add only real prospect information.,0,
,,Lead,0,50%,,No,No,Start empty: add only real prospect information.,0,
,,Lead,0,50%,,No,No,Start empty: add only real prospect information.,0,
,,Lead,0,50%,,No,No,Start empty: add only real prospect information.,0,
,,Lead,0,50%,,No,No,Start empty: add only real prospect information.,0,
,,Lead,0,50%,,No,No,Start empty: add only real prospect information.,0,
,,Lead,0,50%,,No,No,Start empty: add only real prospect information.,0,
,,Lead,0,50%,,No,No,Start empty: add only real prospect information.,0,
,,Lead,0,50%,,No,No,Start empty: add only real prospect information.,0,
,,Lead,0,50%,,No,No,Start empty: add only real prospect information.,0,
,,Lead,0,50%,,No,No,Start empty: add only real prospect information.,0,
,,Lead,0,50%,,No,No,Start empty: add only real prospect information.,0,
,,Lead,0,50%,,No,No,Start empty: add only real prospect information.,0,
,,Lead,0,50%,,No,No,Start empty: add only real prospect information.,0,
,,Lead,0,50%,,No,No,Start empty: add only real prospect information.,0,
,,Lead,0,50%,,No,No,Start empty: add only real prospect information.,0,
,,Lead,0,50%,,No,No,Start empty: add only real prospect information.,0,
,,Lead,0,50%,,No,No,Start empty: add only real prospect information.,0,
